Num_Acc;luminosite
200500001098;1
200500001099;1
200500001100;1
200500001101;2
200500001102;3
200500001103;3
200500001104;5
200500001105;1
200500001106;3
200500001107;1
200500001108;3
200500001109;5
200500001110;3
200500001111;1
200500001112;1
200500001113;1
200500001114;5
200500001115;2
200500001116;3
200500001117;1
200500001118;1
200500001119;1
200500001120;5
200500001121;2
200500001122;1
200500001123;1
200500001124;3
200500001125;1
200500001126;1
200500001127;1
200500001128;1
200500001129;3
200500001130;1
200500001131;5
200500001132;1
200500001133;5
200500001134;1
200500001135;1
200500001136;1
200500001137;3
200500001138;3
200500001139;5
200500001140;1
200500001141;1
200500001142;3
200500001143;3
200500001144;5
200500001145;5
200500001146;1
200500001147;2
200500001148;1
200500001149;1
200500001150;1
200500001151;3
200500001152;3
200500001153;3
200500001154;1
200500001155;3
200500001156;3
200500001157;3
200500001158;1
200500001159;5
200500001160;2
200500001161;1
200500001162;1
200500001163;3
200500001164;1
200500001165;1
200500001166;1
200500001167;1
200500001168;1
200500001169;3
200500001170;3
200500001171;1
200500001172;3
200500001173;3
200500001174;1
200500001175;1
200500001176;5
200500001177;1
200500001178;1
200500001179;1
200500001180;1
200500001181;1
200500001182;1
200500001183;2
200500001184;3
200500001185;2
200500001186;3
200500001187;3
200500001188;3
200500001189;1
200500001190;1
200500001191;2
200500001192;1
200500001193;3
200500001194;3
200500001195;1
200500001196;2
200500001197;2
200500001198;1
200500001199;3
200500001200;1
200500001201;1
200500001202;5
200500001203;3
200500001204;1
200500001205;5
200500001206;1
200500001207;5
200500001208;1
200500001209;3
200500001210;1
200500001211;5
200500001212;3
200500001213;1
200500001214;5
200500001215;1
200500001216;1
200500001217;1
200500001218;1
200500001219;1
200500001220;1
200500001221;1
200500001222;2
200500001223;3
200500001224;1
200500001225;1
200500001226;2
200500001227;3
200500001228;1
200500001229;3
200500001230;3
200500001231;1
200500001232;5
200500001233;3
200500001234;3
200500001235;3
200500001236;5
200500001237;3
200500001238;3
200500001239;1
200500001240;3
200500001241;2
200500001242;1
200500001243;3
200500001244;3
200500001245;3
200500001246;1
200500001247;5
200500001248;3
200500001249;4
200500001250;1
200500001251;3
200500001252;1
200500001253;1
200500001254;1
200500001255;3
200500001256;1
200500001257;1
200500001258;3
200500001259;3
200500001260;1
200500001261;5
200500001262;3
200500001263;1
200500001264;5
200500001265;1
200500001266;1
200500001267;1
200500001268;2
200500001269;5
200500001270;5
200500001271;2
200500001272;1
200500001273;5
200500001274;1
200500001275;3
200500001276;5
200500001277;1
200500001278;1
200500001279;3
200500001280;3
200500001281;1
200500001282;5
200500001283;3
200500001284;5
200500001285;1
200500001286;3
200500001287;1
200500001288;2
200500001289;3
200500001290;1
200500001291;1
200500001292;1
200500001293;5
200500001294;1
200500001295;1
200500001296;1
200500001297;1
200500001298;3
200500001299;5
200500001300;1
200500001301;3
200500001302;1
200500001303;1
200500001304;3
200500001305;3
200500001306;3
200500001307;3
200500001308;1
200500001309;3
200500001310;1
200500001311;1
200500001312;1
200500001313;1
200500001314;1
200500001315;5
200500001316;1
200500001317;1
200500001318;2
200500001319;1
200500001320;3
200500001321;3
200500001322;1
200500001323;1
200500001324;2
200500001325;3
200500001326;1
200500001327;3
200500001328;3
200500001329;5
200500001330;3
200500001331;1
200500001332;3
200500001333;3
200500001334;5
200500001335;1
200500001336;3
200500001337;2
200500001338;1
200500001339;1
200500001340;5
200500001341;3
200500001342;3
200500001343;1
200500001344;3
200500001345;3
200500001346;3
200500001347;2
200500001348;1
200500001349;5
200500001350;1
200500001351;3
200500001352;3
200500001353;1
200500001354;1
200500001355;3
200500001356;5
200500001357;1
200500001358;1
200500001359;1
200500001360;1
200500001361;3
200500001362;3
200500001363;3
200500001364;3
200500001365;3
200500001366;3
200500001367;2
200500001368;1
200500001369;1
200500001370;1
200500001371;1
200500001372;1
200500001373;1
200500001374;2
200500001375;5
200500001376;1
200500001377;1
200500001378;3
200500001379;1
200500001380;3
200500001381;1
200500001382;3
200500001383;1
200500001384;2
200500001385;1
200500001386;3
200500001387;5
200500001388;3
200500001389;5
200500001390;1
200500001391;1
200500001392;1
200500001393;1
200500001394;5
200500001395;1
200500001396;1
200500001397;3
200500001398;1
200500001399;1
200500001400;1
200500001401;1
200500001402;1
200500001403;2
200500001404;1
200500001405;5
200500001406;5
200500001407;1
200500001408;1
200500001409;1
200500001410;2
200500001411;1
200500001412;1
200500001413;5
200500001414;1
200500001415;5
200500001416;1
200500001417;1
200500001418;3
200500001419;1
200500001420;3
200500001421;1
200500001422;1
200500001423;1
200500001424;3
200500001425;1
200500001426;2
200500001427;5
200500001428;3
200500001429;1
200500001430;1
200500001431;3
200500001432;1
200500001433;1
200500001434;3
200500001435;3
200500001436;1
200500001437;3
200500001438;3
200500001439;1
200500001440;1
200500001441;3
200500001442;1
200500001443;3
200500001444;3
200500001445;3
200500001446;3
200500001447;1
200500001448;3
200500001449;1
200500001450;1
200500001451;1
200500001452;3
200500001453;5
200500001454;1
200500001455;2
200500001456;1
200500001457;5
200500001458;3
200500001459;5
200500001460;1
200500001461;1
200500001462;3
200500001463;1
200500001464;1
200500001465;3
200500001466;3
200500001467;1
200500001468;1
200500001469;3
200500001470;1
200500001471;1
200500001472;3
200500001473;3
200500001474;2
200500001475;2
200500001476;1
200500001477;1
200500001478;1
200500001479;1
200500001480;3
200500001481;5
200500001482;1
200500001483;1
200500001484;3
200500001485;1
200500001486;1
200500001487;1
200500001488;1
200500001489;2
200500001490;5
200500001491;1
200500001492;3
200500001493;5
200500001494;3
200500001495;3
200500001496;1
200500001497;3
200500001498;5
200500001499;3
200500001500;5
200500001501;3
200500001502;1
200500001503;3
200500001504;1
200500001505;3
200500001506;2
200500001507;3
200500001508;1
200500001509;5
200500001510;3
200500001511;3
200500001512;1
200500001513;1
200500001514;2
200500001515;1
200500001516;3
200500001517;2
200500001518;1
200500001519;1
200500001520;1
200500001521;5
200500001522;3
200500001523;3
200500001524;1
200500001525;3
200500001526;1
200500001527;1
200500001528;1
200500001529;3
200500001530;1
200500001531;1
200500001532;5
200500001533;3
200500001534;5
200500001535;1
200500001536;1
200500001537;3
200500001538;1
200500001539;1
200500001540;3
200500001541;1
200500001542;1
200500001543;1
200500001544;1
200500001545;1
200500001546;1
200500001547;1
200500001548;1
200500001549;3
200500001550;1
200500001551;3
200500001552;3
200500001553;3
200500001554;2
200500001555;1
200500001556;3
200500001557;3
200500001558;1
200500001559;1
200500001560;1
200500001561;1
200500001562;3
200500001563;3
200500001564;1
200500001565;3
200500001566;1
200500001567;3
200500001568;2
200500001569;3
200500001570;5
200500001571;1
200500001572;1
200500001573;1
200500001574;5
200500001575;1
200500001576;1
200500001577;1
200500001578;1
200500001579;2
200500001580;1
200500001581;5
200500001582;1
200500001583;1
200500001584;3
200500001585;3
200500001586;1
200500001587;3
200500001588;1
200500001589;3
200500001590;1
200500001591;5
200500001592;5
200500001593;1
200500001594;3
200500001595;3
200500001596;3
200500001597;1
200500001598;5
200500001599;1
200500001600;3
200500001601;3
200500001602;1
200500001603;1
200500001604;3
200500001605;3
200500001606;1
200500001607;3
200500001608;3
200500001609;3
200500001610;1
200500001611;5
200500001612;3
200500001613;5
200500001614;1
200500001615;1
200500001616;1
200500001617;1
200500001618;1
200500001619;1
200500001620;1
200500001621;3
200500001622;3
200500001623;1
200500001624;3
200500001625;1
200500001626;2
200500001627;1
200500001628;1
200500001629;1
200500001630;1
200500001631;2
200500001632;5
200500001633;3
200500001634;2
200500001635;2
200500001636;3
200500001637;1
200500001638;3
200500001639;1
200500001640;1
200500001641;3
200500001642;2
200500001643;2
200500001644;3
200500001645;1
200500001646;1
200500001647;2
200500001648;1
200500001649;1
200500001650;3
200500001651;3
200500001652;1
200500001653;2
200500001654;1
200500001655;5
200500001656;2
200500001657;5
200500001658;3
200500001659;3
200500001660;3
200500001661;1
200500001662;1
200500001663;2
200500001664;4
200500001665;1
200500001666;1
200500001667;5
200500001668;3
200500001669;2
200500001670;1
200500001671;1
200500001672;1
200500001673;1
200500001674;1
200500001675;2
200500001676;3
200500001677;1
200500001678;3
200500001679;1
200500001680;1
200500001681;1
200500001682;5
200500001683;1
200500001684;1
200500001685;3
200500001686;1
200500001687;2
200500001688;3
200500001689;5
200500001690;1
200500001691;5
200500001692;3
200500001693;1
200500001694;2
200500001695;3
200500001696;3
200500001697;1
200500001698;2
200500001699;1
200500001700;3
200500001701;3
200500001702;3
200500001703;2
200500001704;4
200500001705;1
200500001706;1
200500001707;3
200500001708;5
200500001709;1
200500001710;3
200500001711;1
200500001712;1
200500001713;1
200500001714;1
200500001715;3
200500001716;2
200500001717;1
200500001718;3
200500001719;1
200500001720;1
200500001721;1
200500001722;3
200500001723;3
200500001724;1
200500001725;3
200500001726;2
200500001727;3
200500001728;2
200500001729;1
200500001730;3
